Domain,Institution Name,Category,Description
www.gov.cn,The State Council of the PRC,Central Government Portal,Main portal for all Chinese government services and information
english.www.gov.cn,The State Council (English),Central Government Portal,English-language government portal for international audiences
ndrc.gov.cn,National Development and Reform Commission,State Council Commission,Macroeconomic planning and investment management
fmprc.gov.cn,Ministry of Foreign Affairs,State Council Ministry,Diplomatic relations and foreign policy
mod.gov.cn,Ministry of National Defense,State Council Ministry,Military affairs and defense policy
moe.gov.cn,Ministry of Education,State Council Ministry,National education policy and institutions
most.gov.cn,Ministry of Science and Technology,State Council Ministry,Science and technology development strategies
miit.gov.cn,Ministry of Industry and Information Technology,State Council Ministry,Industrial development and telecommunications
mps.gov.cn,Ministry of Public Security,State Council Ministry,Law enforcement and public security
moj.gov.cn,Ministry of Justice,State Council Ministry,Legal system administration
mof.gov.cn,Ministry of Finance,State Council Ministry,Fiscal policy and government budget
mofcom.gov.cn,Ministry of Commerce,State Council Ministry,Foreign trade and investment policies
mee.gov.cn,Ministry of Ecology and Environment,State Council Ministry,Environmental protection and climate policy
moa.gov.cn,Ministry of Agriculture and Rural Affairs,State Council Ministry,Agricultural policy and rural development
pbc.gov.cn,People's Bank of China,Central Bank,Monetary policy and currency issuance
audit.gov.cn,National Audit Office,State Council Department,Government auditing and financial accountability
mem.gov.cn,Ministry of Emergency Management,State Council Ministry,Emergency response and disaster management
mca.gov.cn,Ministry of Civil Affairs,State Council Ministry,Social welfare and civil administration
mohurd.gov.cn,Ministry of Housing and Urban-Rural Development,State Council Ministry,Housing policy and urban planning
mot.gov.cn,Ministry of Transport,State Council Ministry,Transportation infrastructure and logistics
mwr.gov.cn,Ministry of Water Resources,State Council Ministry,Water conservation and flood control
mnr.gov.cn,Ministry of Natural Resources,State Council Ministry,Land use and natural resource management
mct.gov.cn,Ministry of Culture and Tourism,State Council Ministry,Cultural policy and tourism development
nsa.gov.cn,National Security Agency,State Security,Intelligence and counterintelligence operations
www.beijing.gov.cn,Beijing Municipality,Direct-Controlled Municipality,Capital city and political center
www.shanghai.gov.cn,Shanghai Municipality,Direct-Controlled Municipality,Financial and economic hub
www.tj.gov.cn,Tianjin Municipality,Direct-Controlled Municipality,Northern port city
www.cq.gov.cn,Chongqing Municipality,Direct-Controlled Municipality,Western China economic center
www.gd.gov.cn,Guangdong Province,Provincial Government,Largest provincial economy manufacturing hub
www.jiangsu.gov.cn,Jiangsu Province,Provincial Government,Yangtze River Delta economic region
www.zhejiang.gov.cn,Zhejiang Province,Provincial Government,Private enterprise and e-commerce center
www.sichuan.gov.cn,Sichuan Province,Provincial Government,Western China population center
www.henan.gov.cn,Henan Province,Provincial Government,Most populous province
www.hebei.gov.cn,Hebei Province,Provincial Government,Surrounds Beijing and Tianjin
www.anhui.gov.cn,Anhui Province,Provincial Government,Central China agricultural province
