Domain,Institution Name,Category,Description
www.gov.il,Government of Israel Portal,Central Government Portal,Main unified portal for all Israeli government services and departments providing access to all ministries and government agencies
www.gov.il/en/departments/prime_ministers_office,Prime Minister's Office,Executive Office,Cabinet department coordinating all governmental ministry offices handling cabinet policy formulation meetings foreign diplomatic relations and supervising policy implementation
www.president.gov.il,Office of the President of the State of Israel,Head of State Office,Official website of Israel's head of state serving largely ceremonial role signing laws appointing judges granting pardons and representing Israel internationally
www.gov.il/en/departments/secretary,Cabinet Secretariat,Executive Support Office,Unit within Prime Minister's Office preparing government meeting agendas liaising between government and President/Knesset serving as government spokesperson
knesset.gov.il,The Knesset (Israeli Parliament),Legislative Body,Israel's unicameral legislature with 120 members serving 4-year terms passing all laws electing President and Prime Minister approving cabinet supervising government work
main.knesset.gov.il,Knesset Main Portal,Legislative Body,Alternative portal for Knesset services and information
main.knesset.gov.il/EN/activity/Pages/MMMDocs.aspx,Knesset Research and Information Center,Parliamentary Research Services,Provides research support information services and documentation to Knesset members and committees
mfa.gov.il,Ministry of Foreign Affairs,Ministry,Implements Israel's foreign policy and promotes economic cultural and scientific relations with other countries maintains diplomatic relations with 159 countries
mod.gov.il,Ministry of Defense,Ministry,Defends Israel from internal and external military threats oversees Israel Defense Forces (IDF) Israel Military Industries and Israel Aerospace Industries
mof.gov.il,Ministry of Finance,Ministry,Manages state budget economic policy taxation customs and fiscal oversight drafts central government budget and oversees financial regulatory matters
health.gov.il,Ministry of Health,Ministry,Ensures population health through policy determination on health and medical services responsible for planning supervision licensing and coordination of health system
edu.gov.il,Ministry of Education,Ministry,Responsible for educational policy curriculum development school administration and oversight of educational institutions from primary through secondary levels
gov.il/he/Departments/ministry_of_justice,Ministry of Justice,Ministry,Responsible for legal affairs law enforcement coordination judicial system administration and legal policy development reviews proposed laws for compliance with Basic Laws
moin.gov.il,Ministry of Interior,Ministry,Manages local government administration immigration services citizenship processes identity document issuance population registration supervision of local councils
gov.il/he/Departments/ministry_of_transport_and_road_safety,Ministry of Transportation and Road Safety,Ministry,Responsible for transportation infrastructure road safety regulations public transportation policy and coordination of transport services
economy.gov.il,Ministry of Economy and Industry,Ministry,Manages industrial policy trade promotion economic development business licensing and commercial regulations
gov.il/he/Departments/ministry_of_energy,Ministry of Energy and Infrastructure,Ministry,Responsible for energy policy infrastructure development utilities regulation and strategic energy planning
moag.gov.il,Ministry of Agriculture and Rural Development,Ministry,Manages agricultural policy rural development food security farming regulations and agricultural research
gov.il/he/Departments/ministry_of_construction_and_housing,Ministry of Construction and Housing,Ministry,Responsible for housing policy construction regulations urban planning coordination and housing development projects
gov.il/he/Departments/ministry_of_tourism,Ministry of Tourism,Ministry,Promotes Israel as tourist destination manages tourism policy and oversees tourism industry regulation
sviva.gov.il,Ministry of Environmental Protection,Ministry,Responsible for environmental policy pollution control conservation programs and environmental impact assessments
gov.il/he/departments/molsa,Ministry of Labor (Social Affairs),Ministry,Manages labor relations employment services social welfare programs and workplace safety regulations
gov.il/he/Departments/ministry_of_culture_and_sport,Ministry of Culture and Sport,Ministry,Promotes cultural activities arts funding sports development and cultural heritage preservation
gov.il/he/Departments/ministry_of_communications,Ministry of Communications,Ministry,Regulates telecommunications broadcasting postal services and digital communications infrastructure
mda.gov.il,Ministry of Diaspora Affairs,Ministry,Maintains relations with Jewish communities worldwide and manages diaspora engagement programs
moia.gov.il,Ministry of Immigration and Absorption,Ministry,Manages immigration processes immigrant absorption services and integration programs for new immigrants
gov.il/he/Departments/ministry_of_religious_services,Ministry of Religious Services,Ministry,Manages religious affairs for all faiths oversight of religious institutions and religious community services
gov.il/he/Departments/Ministry_of_Public_Security,Ministry of National Security (Public Security),Ministry,Oversees Israel Police Israel Border Police and internal security matters with expanded powers under current government
supreme.court.gov.il,Supreme Court of Israel,Judicial Institution - Highest Court,Highest court in Israel with ultimate appellate jurisdiction over all other courts consists of 15 judges also functions as High Court of Justice
gov.il/en/departments/labor_courts,Labor Courts of Israel,Judicial Institution - Specialized Courts,Network of courts specializing in Israeli labor law and social security matters includes 5 regional courts and National Labor Court
