Domain,Italian Name,English Name,Type,Description
governo.it,Governo Italiano - Presidenza del Consiglio dei Ministri,Italian Government - Presidency of Council of Ministers,Executive,Central government coordination and policy management
quirinale.it,Presidenza della Repubblica,Presidency of the Republic,Head of State,Constitutional guarantor and ceremonial functions
parlamento.it,Parlamento Italiano,Italian Parliament,Legislative,Joint parliamentary portal for bicameral activities
camera.it,Camera dei Deputati,Chamber of Deputies,Legislative - Lower House,400-member elected lower chamber
senato.it,Senato della Repubblica,Senate of the Republic,Legislative - Upper House,200-member elected upper chamber
esteri.it,Ministero degli Affari Esteri e della Cooperazione Internazionale,Ministry of Foreign Affairs and International Cooperation,Ministry,Foreign policy and diplomatic relations
interno.gov.it,Ministero dell'Interno,Ministry of Interior,Ministry,Public security immigration and territorial administration
giustizia.it,Ministero della Giustizia,Ministry of Justice,Ministry,Judicial system and legal administration
difesa.it,Ministero della Difesa,Ministry of Defence,Ministry,Armed forces and national defense
mef.gov.it,Ministero dell'Economia e delle Finanze,Ministry of Economy and Finance,Ministry,Economic policy and public finances
mimit.gov.it,Ministero delle Imprese e del Made in Italy,Ministry of Enterprises and Made in Italy,Ministry,Business development and Italian brand promotion
masaf.gov.it,Ministero dell'Agricoltura della Sovranità Alimentare e delle Foreste,Ministry of Agriculture Food Sovereignty and Forests,Ministry,Agricultural policy and food security
mase.gov.it,Ministero dell'Ambiente e della Sicurezza Energetica,Ministry of Environment and Energy Security,Ministry,Environmental protection and energy policy
mit.gov.it,Ministero delle Infrastrutture e dei Trasporti,Ministry of Infrastructure and Transport,Ministry,Transport infrastructure and public works
lavoro.gov.it,Ministero del Lavoro e delle Politiche Sociali,Ministry of Labor and Social Policies,Ministry,Employment and social security
mim.gov.it,Ministero dell'Istruzione e del Merito,Ministry of Education and Merit,Ministry,Primary and secondary education
mur.gov.it,Ministero dell'Università e della Ricerca,Ministry of University and Research,Ministry,Higher education and scientific research
cultura.gov.it,Ministero della Cultura,Ministry of Culture,Ministry,Cultural heritage and arts
salute.gov.it,Ministero della Salute,Ministry of Health,Ministry,Public health and healthcare system
ministeroturismo.gov.it,Ministero del Turismo,Ministry of Tourism,Ministry,Tourism promotion and development
regione.sicilia.it,Regione Siciliana,Sicilian Region,Regional Government - Special,Largest island region with special autonomy
regione.sardegna.it,Regione Sardegna,Region of Sardinia,Regional Government - Special,Second-largest island with special statute
regione.vda.it,Regione Autonoma Valle d'Aosta,Autonomous Region of Aosta Valley,Regional Government - Special,Smallest Alpine region bilingual Italian/French
