Domain,Institution Name,Category,Description
japan.go.jp,JapanGov Portal,Main Portal,Official government portal providing information on policies news and links to all ministries
e-gov.go.jp,e-Government Portal,Digital Portal,Online administrative procedures and digital services managed by Digital Agency
gov-online.go.jp,Government Public Relations Online,PR Portal,Public relations portal delivering government policies to citizens
e-stat.go.jp,e-Stat Portal,Statistics Portal,Comprehensive Japanese government statistics from all ministries
cao.go.jp,Cabinet Office,Cabinet Office,Strategic planning economic policy science policy disaster management
kantei.go.jp,Prime Minister's Office,Prime Minister's Office,Official website of PM activities and government initiatives
cas.go.jp,Cabinet Secretariat,Cabinet Secretariat,Cabinet operations support and policy coordination
soumu.go.jp,Ministry of Internal Affairs and Communications,Ministry,Administrative oversight local government telecommunications statistics
moj.go.jp,Ministry of Justice,Ministry,Judicial system corrections immigration public security intelligence
mofa.go.jp,Ministry of Foreign Affairs,Ministry,Foreign policy diplomatic relations international cooperation
mof.go.jp,Ministry of Finance,Ministry,Budget tax policy customs government debt management
mext.go.jp,Ministry of Education Culture Sports Science and Technology,Ministry,Education scientific research cultural preservation sports promotion
mhlw.go.jp,Ministry of Health Labour and Welfare,Ministry,Healthcare labor standards social security pension systems
maff.go.jp,Ministry of Agriculture Forestry and Fisheries,Ministry,Agricultural policy food security rural development
meti.go.jp,Ministry of Economy Trade and Industry,Ministry,Industrial policy trade promotion energy policy innovation
mlit.go.jp,Ministry of Land Infrastructure Transport and Tourism,Ministry,Infrastructure transportation urban development tourism
env.go.jp,Ministry of the Environment,Ministry,Environmental protection climate change biodiversity conservation
mod.go.jp,Ministry of Defense,Ministry,National defense Self-Defense Forces administration
digital.go.jp,Digital Agency,Agency,Digital transformation cybersecurity IT policy
reconstruction.go.jp,Reconstruction Agency,Agency,Great East Japan Earthquake recovery coordination
pref.hokkaido.lg.jp,Hokkaido Prefectural Government,Prefecture,Japan's northernmost island and largest prefecture
pref.aomori.lg.jp,Aomori Prefectural Government,Prefecture,Northernmost Honshu prefecture famous for apples
pref.iwate.jp,Iwate Prefectural Government,Prefecture,Second-largest prefecture traditional crafts center
pref.miyagi.jp,Miyagi Prefectural Government,Prefecture,Central Tohoku home to regional hub Sendai
pref.akita.lg.jp,Akita Prefectural Government,Prefecture,Sea of Japan coast rice and sake production
pref.yamagata.jp,Yamagata Prefectural Government,Prefecture,Cherry production hot springs sacred mountains
