Domain,Institution Name,Category,Description
statehouse.gov.ng,The Presidency of the Federal Republic of Nigeria,Executive Office,Official website of the President of Nigeria serving as the primary portal for presidential activities policies and official communications from Aso Rock Villa
osgf.gov.ng,Office of the Secretary to the Government of the Federation,Executive Office,Engine room for policy formulation harmonization implementation and monitoring of government institutions
services.gov.ng,Nigeria E-Government Portal,Government Portal,Digital gateway providing streamlined government services simplifying interactions between citizens and government administrations
finance.gov.ng,Federal Ministry of Finance,Federal Ministry,Manages federal finances revenue generation budget implementation and economic coordination under Coordinating Minister Wale Edun
nationalplanning.gov.ng,Federal Ministry of Budget and Economic Planning,Federal Ministry,Responsible for national development planning budget formulation and economic policy coordination under Minister Abubakar Bagudu
fmmbe.gov.ng,Federal Ministry of Marine and Blue Economy,Federal Ministry,New ministry focused on harnessing Nigeria's maritime resources for economic diversification and sustainable development
agriculture.gov.ng,Federal Ministry of Agriculture and Food Security,Federal Ministry,Ensures food security agricultural development and rural income growth under Minister Abubakar Kyari
fmld.gov.ng,Federal Ministry of Livestock Development,Federal Ministry,New specialized ministry established in 2024 to transform Nigeria's livestock sector and address farmer-herder conflicts
power.gov.ng,Federal Ministry of Power,Federal Ministry,Responsible for national power policy electricity generation transmission and distribution under Minister Adebayo Adelabu
fmhud.gov.ng,Federal Ministry of Housing and Urban Development,Federal Ministry,Implements housing policies and the Renewed Hope Housing Programme for affordable accommodation
fmcide.gov.ng,Federal Ministry of Communications Innovation and Digital Economy,Federal Ministry,Drives Nigeria's digital transformation ICT development and innovation ecosystem under Minister Bosun Tijani
foreignaffairs.gov.ng,Federal Ministry of Foreign Affairs,Federal Ministry,Conducts Nigeria's foreign policy diplomatic relations and international cooperation under Minister Yusuf Tuggar
interior.gov.ng,Federal Ministry of Interior,Federal Ministry,Handles immigration citizenship internal security and federal character issues under Minister Olubunmi Tunji-Ojo
defence.gov.ng,Federal Ministry of Defence,Federal Ministry,Oversees Nigeria's military and defense policies
justice.gov.ng,Federal Ministry of Justice,Federal Ministry,Government's chief legal office oversees the justice system under Attorney General Lateef Fagbemi
health.gov.ng,Federal Ministry of Health and Social Welfare,Federal Ministry,Responsible for national healthcare policy disease prevention and social welfare programs under Coordinating Minister Ali Pate
education.gov.ng,Federal Ministry of Education,Federal Ministry,Oversees federal education policy tertiary institutions and educational development under Minister Morufu Alausa
