Domain,Institution Name,Category,Description
government.ru,Government of the Russian Federation,Main Federal Portal,Central portal for the Russian government providing access to all federal ministries agencies and government services
kremlin.ru,Presidential Executive Office,Presidential Administration,Official website of the President of Russia housing the Presidential Executive Office that coordinates presidential activities and policy implementation
en.kremlin.ru,Presidential Executive Office (English),Presidential Administration,English version of the Presidential administration website
mid.ru,Ministry of Foreign Affairs,Federal Ministry,Responsible for Russia's foreign policy diplomatic relations and international agreements with other countries and international organizations
minfin.gov.ru,Ministry of Finance,Federal Ministry,Manages Russia's financial policy federal budget taxation and general financial management including economic development and fiscal stability
mil.ru,Ministry of Defence,Federal Ministry,Governs the Russian Armed Forces military policy defense planning and oversees all branches including army navy air force and aerospace defense
mvd.ru,Ministry of Internal Affairs,Federal Ministry,Responsible for law enforcement through police migration affairs drug control traffic safety and combating extremism within Russia
minjust.gov.ru,Ministry of Justice,Federal Ministry,Administers courts legal affairs prison system management and ensures legal compliance and judicial administration throughout Russia
economy.gov.ru,Ministry of Economic Development,Federal Ministry,Develops and implements economic policy supports business development manages economic reforms and promotes Russia's economic growth
edu.gov.ru,Ministry of Education,Federal Ministry,Oversees general education system including schools kindergartens and vocational training institutions for basic educational services
minobrnauki.gov.ru,Ministry of Science and Higher Education,Federal Ministry,Manages universities research institutions scientific policy and higher education development including technological innovation and academic research
minzdrav.gov.ru,Ministry of Health,Federal Ministry,Develops healthcare policy manages public health services medical institutions and ensures healthcare delivery across Russia
mcx.gov.ru,Ministry of Agriculture,Federal Ministry,Responsible for agricultural policy livestock farming food security rural development and regulation of agricultural markets and food processing
mintrans.gov.ru,Ministry of Transport,Federal Ministry,Manages transportation policy including railways aviation maritime transport roads and transportation infrastructure development across Russia
minenergo.gov.ru,Ministry of Energy,Federal Ministry,Oversees energy policy for oil gas electricity renewable energy sectors and manages Russia's energy resources and infrastructure
minpromtorg.gov.ru,Ministry of Industry and Trade,Federal Ministry,Manages industrial policy defense industries foreign and domestic trade technical standards and promotes manufacturing and trade development
digital.gov.ru,"Ministry of Digital Development, Communications and Mass Media",Federal Ministry,Responsible for telecommunications digital policy mass media regulation postal services and information technology development
mnr.gov.ru,Ministry of Natural Resources and Environment,Federal Ministry,Manages natural resources including forests water minerals environmental protection pollution control and conservation policies
minstroyrf.gov.ru,"Ministry of Construction, Housing and Utilities",Federal Ministry,Oversees construction policy housing development urban planning and utility services management throughout Russia
mintrud.gov.ru,Ministry of Labour and Social Protection,Federal Ministry,Manages labor policy social security employment services workplace safety and social protection programs for Russian citizens
culture.gov.ru,Ministry of Culture,Federal Ministry,Promotes cultural policy supports arts and cultural institutions manages cultural heritage protection and oversees museums theaters and libraries
minsport.gov.ru,Ministry of Sport,Federal Ministry,Develops sports policy manages athletic programs oversees sports facilities and promotes physical education and competitive sports
mchs.gov.ru,"Ministry of Civil Defence, Emergencies and Disaster Relief (EMERCOM)",Federal Ministry,Responsible for emergency response disaster management civil defense fire protection and rescue operations during natural disasters and emergencies
minvostokrazvitia.gov.ru,Ministry for the Development of the Russian Far East and Arctic,Federal Ministry,Coordinates development of Russia's Far Eastern regions and Arctic zone manages special economic zones and promotes investment in these strategic areas
duma.gov.ru,State Duma,Legislative,Lower house of the Federal Assembly consisting of 450 deputies elected for 5-year terms. Main legislative body responsible for adopting federal laws
council.gov.ru,Federation Council,Legislative,Upper house of the Federal Assembly composed of two representatives from each of Russia's 85 federal subjects
sudrf.ru,State Automated System "Justice",Judicial Portal,Central portal coordinating information about all Russian courts including general jurisdiction courts arbitration courts and Supreme Court system
ksrf.ru,Constitutional Court,Judicial,Highest judicial body for constitutional supervision exercising constitutional justice to protect constitutional system and fundamental rights
vsrf.ru,Supreme Court,Judicial,Highest judicial body for civil administrative criminal cases and economic disputes. Supervises lower courts and provides judicial clarifications
sledcom.ru,Investigative Committee,Judicial Support,Main federal investigating authority since 2011 responsible for investigating major crimes corruption cases and police misconduct
epp.genproc.gov.ru,Prosecutor General's Office,Judicial Support,Federal prosecution system supervising law observance conducting criminal prosecutions and overseeing investigative activities
en.fssp.gov.ru,Federal Bailiff Service,Judicial Support,Federal law enforcement agency under Ministry of Justice responsible for enforcement of court decisions and court security
nalog.gov.ru,Federal Tax Service,Federal Service,Responsible for tax collection state registration of legal entities and individual entrepreneurs and tax compliance oversight
customs.gov.ru,Federal Customs Service,Federal Service,Regulates customs operations import/export controls and acts as currency control agent
rkn.gov.ru,Federal Service for Supervision of Communications (Roskomnadzor),Federal Service,Monitors mass media telecommunications information technology; maintains internet censorship registers; supervises data protection compliance
fas.gov.ru,Federal Antimonopoly Service,Federal Service,Controls antitrust law execution natural monopolies regulation competition protection and state procurement oversight
rospotrebnadzor.ru,Federal Service for Consumer Rights Protection,Federal Service,National public health agency responsible for consumer protection sanitary-epidemiological oversight and human welfare supervision
rospatent.gov.ru,Federal Service for Intellectual Property,Federal Service,Manages intellectual property rights patents trademarks and related registrations
