Domain,Institution Name,Category,Description
thepresidency.gov.za,The Presidency,National Executive,Coordination of government business policy development implementation of presidential directives state security coordination
dalrrd.gov.za,Department of Agriculture Land Reform and Rural Development,National Department,Agricultural development food security land redistribution rural infrastructure
education.gov.za,Department of Basic Education,National Department,Primary and secondary education policy curriculum development school infrastructure
dcdt.gov.za,Department of Communications and Digital Technologies,National Department,ICT policy digital transformation telecommunications regulation digital inclusion
cogta.gov.za,Department of Cooperative Governance and Traditional Affairs,National Department,Local government oversight traditional leadership intergovernmental relations disaster management
dcs.gov.za,Department of Correctional Services,National Department,Prison management offender rehabilitation community corrections parole services
dod.mil.za,Department of Defence and Military Veterans,National Department,National defense military veterans affairs peacekeeping operations
dmre.gov.za,Department of Mineral Resources and Energy,National Department,Energy policy electricity generation mining regulation petroleum exploration
labour.gov.za,Department of Employment and Labour,National Department,Labor relations employment equity workplace safety skills development
treasury.gov.za,National Treasury,National Department,Fiscal policy budget allocation tax policy economic planning
dffe.gov.za,Department of Forestry Fisheries and the Environment,National Department,Environmental protection marine resources climate change biodiversity conservation
health.gov.za,Department of Health,National Department,Public healthcare policy National Health Insurance disease prevention
dhet.gov.za,Department of Higher Education Science and Technology,National Department,University education technical training research development
dha.gov.za,Department of Home Affairs,National Department,Immigration citizenship identity documents birth and death registration
dhs.gov.za,Department of Human Settlements,National Department,Housing policy human settlements development urban planning
dirco.gov.za,Department of International Relations and Cooperation,National Department,Foreign policy diplomatic relations international trade negotiations
justice.gov.za,Department of Justice and Constitutional Development,National Department,Court administration legal policy constitutional matters access to justice
dpme.gov.za,Department of Planning Monitoring and Evaluation,National Department,Government performance monitoring policy evaluation delivery coordination
saps.gov.za,South African Police Service,National Department,Crime prevention law enforcement public safety specialized investigations
dpsa.gov.za,Department of Public Service and Administration,National Department,Public service management human resource policies public administration reform
publicworks.gov.za,Department of Public Works and Infrastructure,National Department,Government infrastructure public buildings construction industry development
dst.gov.za,Department of Science Technology and Innovation,National Department,Science policy research and development innovation support
dsbd.gov.za,Department of Small Business Development,National Department,SMME support entrepreneurship development business incubation
dsd.gov.za,Department of Social Development,National Department,Social grants child protection social welfare services poverty alleviation
dsac.gov.za,Department of Sport Arts and Culture,National Department,Sports development arts promotion cultural heritage creative industries
tourism.gov.za,Department of Tourism,National Department,Tourism promotion destination marketing hospitality industry development
thedtic.gov.za,Department of Trade Industry and Competition,National Department,Industrial policy trade promotion competition regulation economic transformation
transport.gov.za,Department of Transport,National Department,Transport policy road safety public transport aviation maritime transport
dws.gov.za,Department of Water and Sanitation,National Department,Water resource management sanitation infrastructure water quality
dwypd.gov.za,Department of Women Youth and Persons with Disabilities,National Department,Gender equality youth empowerment disability rights social inclusion
gcis.gov.za,Government Communication and Information System,National Agency,Government communications media relations public information
ssa.gov.za,State Security Agency,National Agency,National intelligence state security
statssa.gov.za,Statistics South Africa,National Agency,National statistics data collection economic indicators
ecprov.gov.za,Eastern Cape Provincial Government,Provincial Government,Main portal coordinating all provincial departments and services
eclegislature.gov.za,Eastern Cape Provincial Legislature,Provincial Legislature,Legislative authority with 72 members based in Bhisho
ectreasury.gov.za,Eastern Cape Provincial Treasury,Provincial Treasury,Financial management and resource allocation for the province
eceducation.gov.za,Eastern Cape Department of Education,Provincial Department,Provincial education administration and policy
echealth.gov.za,Eastern Cape Department of Health,Provincial Department,Provincial healthcare services and facilities management
freestateonline.fs.gov.za,Free State Provincial Government,Provincial Government,Integrated provincial government website and service hub
premier.fs.gov.za,Office of the Premier - Free State,Provincial Executive,Premier's office coordination and leadership
treasury.fs.gov.za,Free State Provincial Treasury,Provincial Treasury,Provincial financial management and budget planning
education.fs.gov.za,Free State Department of Education,Provincial Department,Provincial education services and school management
gauteng.gov.za,Gauteng Provincial Government,Provincial Government,Most economically significant province including Johannesburg and Pretoria
gpl.gov.za,Gauteng Provincial Legislature,Provincial Legislature,Provincial legislative authority for diverse metropolitan areas
kznonline.gov.za,KwaZulu-Natal Provincial Government,Provincial Government,Provincial portal with citizen engagement focus
kznlegislature.gov.za,KwaZulu-Natal Provincial Legislature,Provincial Legislature,Legislative authority with 80 members in Pietermaritzburg
kzntreasury.gov.za,KwaZulu-Natal Provincial Treasury,Provincial Treasury,Financial management for 11 million residents
kznhealth.gov.za,KwaZulu-Natal Department of Health,Provincial Department,Provincial healthcare administration
limpopo.gov.za,Limpopo Provincial Government,Provincial Government,South Africa's northernmost province focused on rural development
limtreasury.gov.za,Limpopo Provincial Treasury,Provincial Treasury,Provincial financial management and budgeting
edu.limpopo.gov.za,Limpopo Department of Education,Provincial Department,Provincial education services
mpg.gov.za,Mpumalanga Provincial Government,Provincial Government,Place of Rising Sun focus on natural resources and tourism
mpuleg.gov.za,Mpumalanga Provincial Legislature,Provincial Legislature,Provincial legislative authority
treasury.mpg.gov.za,Mpumalanga Provincial Treasury,Provincial Treasury,Financial management and resource allocation
northern-cape.gov.za,Northern Cape Provincial Government,Provincial Government,Largest province by land area with diamond and mining heritage
premier.ncpg.gov.za,Office of the Premier - Northern Cape,Provincial Executive,Provincial executive coordination
ncpleg.gov.za,Northern Cape Provincial Legislature,Provincial Legislature,Legislative authority advancing people's aspirations
nwpg.gov.za,North West Provincial Government,Provincial Government,Let's Grow North West Together Capital Mahikeng
nwpl.gov.za,North West Provincial Legislature,Provincial Legislature,Provincial legislative authority
treasury.nwpg.gov.za,North West Provincial Treasury,Provincial Treasury,Provincial financial management and MFMA compliance
westerncape.gov.za,Western Cape Government,Provincial Government,For You citizen-centered service delivery
wcpp.gov.za,Western Cape Provincial Parliament,Provincial Legislature,Provincial Parliament with 42 members in Cape Town
capetown.gov.za,City of Cape Town Metropolitan Municipality,Metropolitan Municipality,South Africa's legislative capital serving 4 million residents major tourism destination
joburg.org.za,City of Johannesburg Metropolitan Municipality,Metropolitan Municipality,Africa's economic powerhouse with 5+ million residents
tshwane.gov.za,City of Tshwane Metropolitan Municipality,Metropolitan Municipality,Administrative capital including Pretoria 3.2 million residents
durban.gov.za,eThekwini Metropolitan Municipality,Metropolitan Municipality,Home to Africa's busiest port 3.4 million residents
nelsonmandelabay.gov.za,Nelson Mandela Bay Metropolitan Municipality,Metropolitan Municipality,Major automotive manufacturing hub 1.15 million residents
ekurhuleni.gov.za,City of Ekurhuleni Metropolitan Municipality,Metropolitan Municipality,East Rand region including OR Tambo Airport 3.3 million residents
mangaung.co.za,Mangaung Metropolitan Municipality,Metropolitan Municipality,Includes Bloemfontein 750000 residents
buffalocity.gov.za,Buffalo City Metropolitan Municipality,Metropolitan Municipality,Coastal municipality including East London 835000 residents
stellenbosch.gov.za,Stellenbosch Local Municipality,Local Municipality,Historic university town and wine region 175000 residents
george.gov.za,George Local Municipality,Local Municipality,Primary service center for Garden Route 295000 residents
mosselbaai.gov.za,Mossel Bay Local Municipality,Local Municipality,Historic coastal town and fishing center
knysna.gov.za,Knysna Local Municipality,Local Municipality,Major Garden Route tourism destination
midvaal.gov.za,Midvaal Local Municipality,Local Municipality,Mixed urban-rural municipality in Gauteng
makana.gov.za,Makana Local Municipality,Local Municipality,Home to Grahamstown/Makhanda and Rhodes University
polokwane.gov.za,Polokwane Local Municipality,Local Municipality,Capital city of Limpopo province
mbombela.gov.za,Mbombela Local Municipality,Local Municipality,Gateway to Kruger National Park
rustenburg.gov.za,Rustenburg Local Municipality,Local Municipality,Major platinum mining center
solplaatje.org.za,Sol Plaatje Local Municipality,Local Municipality,Includes Kimberley diamond mining capital
parliament.gov.za,Parliament of the Republic of South Africa,National Legislature,Bicameral legislature with National Assembly 400 and NCOP 90
sals.gov.za,South African Legislative Sector,Legislative Support,Coordination body for all South African legislatures
concourt.org.za,Constitutional Court of South Africa,Apex Court,Highest court on constitutional matters with 11 judges
supremecourtofappeal.org.za,Supreme Court of Appeal,Appellate Court,Second-highest court for non-constitutional appeals
judiciary.org.za,Office of the Chief Justice,Judicial Administration,Central administrative body for South Africa's judiciary
npa.gov.za,National Prosecuting Authority,Prosecution Authority,State prosecution agency for criminal proceedings
legal-aid.co.za,Legal Aid South Africa,Legal Aid Institution,Professional legal services for indigent persons
eskom.co.za,Eskom Holdings SOC Ltd,Energy SOE,Primary electricity utility generating 95% of country's electricity
petrosa.co.za,PetroSA,Energy SOE,National oil company with GTL refinery operations
